profile	family	model	src_sym	src_param	req_mhz	map_hz	parent	parent_mhz	req_eff	actual_mhz	old_boot_actual
iflytek_xfp301m_t31x_jxq03_rtl8188ftv	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
iflytek_xfp301m_t31x_jxq03_ssv6155	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
iget_c5pt_t41lq_gc4023_jl1101	t41	t41lq	INTERNAL	None	400	400000000	mpll	None	400.0	None	None
imou_ranger2_t31n_gc2053_eth+ssv6155	t31	t31n	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
jienuo_jn107ardwifi_t31l_gc2083_eth+rtl8131bu	t31	t31l	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
jienuo_jn107arewifi_t31x_sc5235_eth+rtl8731bu	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
jooan_a2r_t23n_sc1a4t_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_a2r_t23n_sc1a4t_ssv6355	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_a6m_t23n_sc1a4t_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_a6m_t23n_sc1a4t_ssv6355	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_c9ts_t23n_sc2336p_atbm6132u	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_f2t_t30x_sc4236_eth	t30	t30x	None	None	None	None	None	None	None	None	None
jooan_q3h_t30l_sc1235_rtl8189ftv	t30	t30l	None	None	None	None	None	None	None	None	None
jooan_q3r_t23n_sc1a4t_eth+atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_t2r_t23n_sc1a4t_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_t2r_t23n_sc1a4t_ssv6355	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_w3u_t23n_sc2336p_eth+atbm6132u	t23	t23n	None	None	None	None	None	None	None	None	None
jooan_w8u_t23n_sc2336_atbm6132u	t23	t23n	None	None	None	None	None	None	None	None	None
laview_l2_t31l_sc3338_atbm6012b	t31	t31l	INTERNAL	None	600	600000000	mpll	1000.0	600.0	500.0	None
laview_l2_t31l_sc3338_atbm6012bx	t31	t31l	INTERNAL	None	600	600000000	mpll	1000.0	600.0	500.0	None
laview_l2_t31l_sc3338_ssv6256p	t31	t31l	INTERNAL	None	600	600000000	mpll	1000.0	600.0	500.0	None
litokam_c1_t31l_sc2336_atbm6012b	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
litokam_m1_t31l_sc3336_atbm6012b	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
litokam_m1_t31l_sc3336_atbm6012bx	t31	t31l	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
longplus_x07_t31n_jxf23_rtl8189ftv	t31	t31n	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
lsc_3215672_t23n_sc2331_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
mercusys_mc200_t23n_sc2331_wq9001	t23	t23n	None	None	None	None	None	None	None	None	None
nexht_86336_t21z_jxf37_rtl8188ftv	t21	t21zn	None	None	None	None	None	None	None	None	None
noname_t10l_jxh42_mt7601	t10	t10l	None	None	None	None	None	None	None	None	None
okam_qc3_t23n_gc2083_aic8800u	t23	t23n	None	None	None	None	None	None	None	None	None
overtech_ov59wb_t31n_sc223a_rtl8188ftv	t31	t31n	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
personal_cam2_t31x_gc2053_atbm6031	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
personal_campan_t31x_gc2053_atbm6031	t31	t31x	INTERNAL	None	600	600000000	mpll	1200.0	600.0	600.0	None
pesita_x09_t31n_jxf23_rtl8189ftv	t31	t31n	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
primecables_08360_t21z_sc2300_rtl8188ftv	t21	t21zn	None	None	None	None	None	None	None	None	None
primecables_08361_t21n_sc2300_rtl8188ftv	t21	t21n	None	None	None	None	None	None	None	None	None
sim_simp400t_t31x_gc4653_eth+ssv6155p	t31	t31x	INTERNAL	None	400	400000000	mpll	1200.0	400.0	400.0	None
smart_nvr_a1n_eth	a1	a1n	None	None	None	None	None	None	None	None	None
sonoff_b1p_t23n_sc2336_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
sonoff_pt2_t23n_sc2336p_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
sonoff_s2_t23n_sc2336_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
teacup_t31x	t31	t31zx	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
tplink_tapo_c100_t23n_sc2336p_wq9001	t23	t23n	None	None	None	None	None	None	None	None	None
tplink_tapo_c100_t31l_sc2336_rtl8188ftv	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
tplink_tapo_c100_t31l_sc2336_wq9001	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
tplink_tapo_c110_t23n_sc3336_wq9001	t23	t23n	None	None	None	None	None	None	None	None	None
tplink_tapo_c200_t23n_sc2336p_rtl8188ftv	t23	t23n	None	None	None	None	None	None	None	None	None
tplink_tapo_c200c_t23n_sc2336p_wq9001	t23	t23n	None	None	None	None	None	None	None	None	None
tplink_tapo_c210_t23n_sc3336_rtl8188ftv	t23	t23n	None	None	None	None	None	None	None	None	None
tplink_tapo_c500_t23n_sc2336p_atbm6012bx	t23	t23n	None	None	None	None	None	None	None	None	None
tplink_tapo_c500_t31l_sc2336_rtl8188ftv	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
tplink_tapo_tc70_t31l_sc2336_rtl8188ftv	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
tptek_wor504jch_t31x_gc4653_eth+rtl8731	t31	t31x	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_ak54_t31n_gc2053_eth	t31	t31n	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
vanhua_djz_t31n_gc2083_eth	t31	t31n	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_djz_t31n_gc4653_eth	t31	t31n	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_fjz_t31x_gc4653_eth	t31	t31x	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_h33_t31l_gc2083_eth	t31	t31l	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_h53e_t31x_gc4023_eth_rtl8188ftv	t31	t31x	VPLL	vpll	400	400000000	vpll	1200.0	400.0	400.0	360.0
vanhua_l34_t31l_gc2083_eth	t31	t31l	INTERNAL	None	400	400000000	mpll	1000.0	400.0	333.3333333333333	None
vanhua_s37i_t31l_imx307_eth	t31	t31l	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_z55_t31x_gc4653_eth	t31	t31x	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
vanhua_z55i_t31x_gc4653_eth	t31	t31x	VPLL	vpll	486	None	vpll	1200.0	550.0	400.0	540.0
victure_pc420_t21n_jxf23_eth+rtl8188ftv	t21	t21n	None	None	None	None	None	None	None	None	None
